"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Singh G.; Vyas N.; Dahiya N.; Singh S.; Bhati N.; Sood V.; Gupta D.K.","Singh, Gurwinder (57208193940); Vyas, Narayan (57221967474); Dahiya, Neelam (57212487158); Singh, Sartajvir (57993019700); Bhati, Neha (58556381100); Sood, Vishakha (57195513577); Gupta, Dileep Kumar (57200783030)","57208193940; 57221967474; 57212487158; 57993019700; 58556381100; 57195513577; 57200783030","A novel pixel-based deep neural network in posterior probability space for the detection of agriculture changes using remote sensing data","2025","Remote Sensing Applications: Society and Environment","38","","101591","","","","1","10.1016/j.rsase.2025.101591","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005006519&doi=10.1016%2fj.rsase.2025.101591&partnerID=40&md5=8426e72d8de75da30215c2ea4381ba91","Article","Final","","Scopus","2-s2.0-105005006519"
"Punugoti R.; Dutt V.; Anand A.; Bhati N.","Punugoti, Rajasrikar (58513638000); Dutt, Vishal (57211289594); Anand, Abhineet (56159814200); Bhati, Neha (58556381100)","58513638000; 57211289594; 56159814200; 58556381100","Exploring the Impact of Edge Intelligence and IoT on Healthcare: A Comprehensive Survey","2023","International Conference on Sustainable Computing and Smart Systems, ICSCSS 2023 - Proceedings","","","","1108","1114","6","57","10.1109/ICSCSS57650.2023.10169733","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166240202&doi=10.1109%2fICSCSS57650.2023.10169733&partnerID=40&md5=22b6c11b911309e82d1fb0e373f153b8","Conference paper","Final","","Scopus","2-s2.0-85166240202"
"Bhati N.; Vyas N.; Pagrotra A.","Bhati, Neha (58556381100); Vyas, Narayan (57221967474); Pagrotra, Ashutosh (58679406600)","58556381100; 57221967474; 58679406600","Advancement in Remote Sensing and GIS for Sustainable Groundwater Monitoring","2026","Hyperspectral Remote Sensing for Sustainable Agriculture","","","","194","209","15","0","10.2174/9798898813963126010012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105042842002&doi=10.2174%2f9798898813963126010012&partnerID=40&md5=f6ee0a0813edb5fab41a2e3a86b525ed","Book chapter","Final","","Scopus","2-s2.0-105042842002"
"Bhati N.; Vyas N.","Bhati, Neha (58556381100); Vyas, Narayan (57221967474)","58556381100; 57221967474","Advanced Architectures and Innovative Platforms for Federated Learning: A Comprehensive Exploration","2024","Model Optimization Methods for Efficient and Edge AI: Federated Learning Architectures, Frameworks and Applications","","","","145","155","10","2","10.1002/9781394219230.ch8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212731800&doi=10.1002%2f9781394219230.ch8&partnerID=40&md5=590d979c3175af367ffcc8800d041be0","Book chapter","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85212731800"
"Bhati N.; Duggar R.; Alzahrani A.","Bhati, Neha (58556381100); Duggar, Ronak (58629689000); Alzahrani, Abdullah (58811105600)","58556381100; 58629689000; 58811105600","Exploring few-shot learning approaches for bioinformatics advancements","2024","Applying Machine Learning Techniques to Bioinformatics: Few-Shot and Zero-Shot Methods","","","","303","316","13","9","10.4018/979-8-3693-1822-5.ch016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190937558&doi=10.4018%2f979-8-3693-1822-5.ch016&partnerID=40&md5=6913d90a30a954da9fd5b5ad4adc53f3","Book chapter","Final","","Scopus","2-s2.0-85190937558"
"Bhati N.; Pokhriyal A.; Saber A.","Bhati, Neha (58556381100); Pokhriyal, Aradhya (58541221200); Saber, Abeer (57200597971)","58556381100; 58541221200; 57200597971","Algorithmic exploration of unveiling fault tolerance in quantum machine learning","2024","Quantum Computing","5","","","103","130","27","0","10.1515/9783111342276-006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105038207979&doi=10.1515%2f9783111342276-006&partnerID=40&md5=a1833204d2b6ad0595edc9460f31ea13","Book chapter","Final","","Scopus","2-s2.0-105038207979"
"Bhati N.; Dhiman H.; Yadav S.; Sharma R.; Shrimal G.; Katariya J.K.","Bhati, Neha (58556381100); Dhiman, Hardik (58679406700); Yadav, Surendra (59072957000); Sharma, Rakesh (59033806700); Shrimal, Gajendra (59454694900); Katariya, Jitendra Kumar (58204830100)","58556381100; 58679406700; 59072957000; 59033806700; 59454694900; 58204830100","The Power of Prediction: Revolutionizing Energy Management","2025","Secure Energy Optimization: Leveraging Internet of Things and Artificial Intelligence for Enhanced Efficiency","","","","327","349","22","0","10.1002/9781394271849.ch13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021767010&doi=10.1002%2f9781394271849.ch13&partnerID=40&md5=28b00384f67a9df34475bc554fe19c91","Book chapter","Final","","Scopus","2-s2.0-105021767010"
"Bhati N.; Vyas N.","Bhati, Neha (58556381100); Vyas, Narayan (57221967474)","58556381100; 57221967474","Elevating IoT sensor data management and security through blockchain solutions","2024","Technological Advancements in Data Processing for Next Generation Intelligent Systems","","","","58","77","19","2","10.4018/979-8-3693-0968-1.ch003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191490997&doi=10.4018%2f979-8-3693-0968-1.ch003&partnerID=40&md5=0c0976626fb364ba17b3ed0d29079bc7","Book chapter","Final","","Scopus","2-s2.0-85191490997"
"Bhati N.; Vyas N.; Dutt V.; Duggar R.; Pokhriyal A.","Bhati, Neha (58556381100); Vyas, Narayan (57221967474); Dutt, Vishal (57211289594); Duggar, Ronak (58629689000); Pokhriyal, Aradhya (58541221200)","58556381100; 57221967474; 57211289594; 58629689000; 58541221200","Advanced Real-Time Simulation Framework for the Physical Interaction Dynamics of Production Lines Leveraging Digital Twin Paradigms","2024","Simulation Techniques of Digital Twin in Real-Time Applications: Design Modeling and Implementation","","","","319","343","24","0","10.1002/9781394257003.ch15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199180256&doi=10.1002%2f9781394257003.ch15&partnerID=40&md5=35305001d062d107dfc979c69a3b88c0","Book chapter","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85199180256"
"Punugoti R.; Dutt V.; Kumar A.; Bhati N.","Punugoti, Rajasrikar (58513638000); Dutt, Vishal (57211289594); Kumar, Abhishek (57202087015); Bhati, Neha (58556381100)","58513638000; 57211289594; 57202087015; 58556381100","Boosting the Accuracy of Cardiovascular Disease Prediction Through SMOTE","2023","2023 International Conference on IoT, Communication and Automation Technology, ICICAT 2023","","","","","","","35","10.1109/ICICAT57735.2023.10263703","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174812963&doi=10.1109%2fICICAT57735.2023.10263703&partnerID=40&md5=1ba9c92a23124a975725893b87352463","Conference paper","Final","","Scopus","2-s2.0-85174812963"
